id,y_true,pred_M0,pred_M1,pred_M2,pred_M3
3955,31,4,31,31,31
3956,12,39,12,12,12
3957,7,3,7,7,7
3958,32,8,32,32,32
3959,1,1,1,1,1
3960,0,0,24,0,0
3961,3,3,3,3,3
3962,6,6,6,6,6
3963,6,2,6,6,6
3964,45,39,45,45,45
3965,45,39,45,45,45
3966,24,24,24,24,24
3967,5,5,5,5,5
3968,6,3,6,6,6
3969,7,0,7,7,7
3970,3,6,3,3,3
3971,30,0,30,30,30
3972,14,0,14,15,14
3973,44,9,44,44,44
3974,39,4,39,39,39
3975,0,0,0,24,0
3976,7,9,7,7,7
3977,30,0,30,30,30
3978,8,8,8,8,8
3979,7,7,7,7,7
3980,28,6,28,28,28
3981,20,8,20,20,20
3982,7,7,7,7,7
3983,40,6,15,40,15
3984,45,7,45,45,45
3985,4,0,4,4,4
3986,6,6,6,6,6
3987,9,4,9,9,9
3988,3,3,3,3,3
3989,22,39,22,22,22
3990,1,1,1,1,1
3991,35,3,2,2,2
3992,24,2,24,0,0
3993,3,3,3,3,3
3994,21,0,21,21,21
3995,1,1,1,1,1
3996,4,4,4,4,4
3997,22,39,22,22,22
3998,21,8,21,21,21
3999,1,1,21,21,1
4000,1,1,1,1,1
4001,5,5,28,5,5
4002,19,6,5,5,5
4003,3,3,3,3,3
4004,9,7,9,9,9
4005,8,8,8,8,8
4006,5,3,5,5,5
4007,25,8,25,25,25
4008,40,6,15,15,15
4009,0,0,0,0,0
4010,21,1,1,1,1
4011,46,1,46,46,46
4012,0,24,24,0,24
4013,8,2,8,8,8
4014,28,8,28,28,28
4015,1,1,18,18,18
4016,9,0,9,9,9
4017,12,6,12,12,12
4018,9,9,9,9,9
4019,31,4,31,31,31
4020,0,0,0,0,0
4021,2,3,2,2,2
4022,11,3,11,8,11
4023,21,4,1,1,1
4024,30,3,30,30,30
4025,8,6,8,8,8
4026,9,9,9,9,9
4027,8,8,8,8,8
4028,0,24,24,24,24
4029,14,6,14,14,14
4030,46,8,46,46,46
4031,45,8,45,45,46
4032,7,7,7,7,7
4033,8,6,8,8,8
4034,29,39,29,29,29
4035,15,6,15,15,15
4036,15,7,15,15,15
4037,2,39,2,2,27
4038,4,8,4,4,4
4039,4,4,4,4,4
4040,38,3,38,38,38
4041,20,39,20,20,20
4042,21,6,21,21,21
4043,24,0,24,0,0
4044,13,0,13,13,13
4045,9,4,9,9,9
4046,9,9,9,9,9
4047,0,24,0,24,0
4048,6,3,6,6,6
4049,34,8,34,34,34
4050,43,39,43,43,43
4051,38,3,38,38,38
4052,15,8,15,15,15
4053,2,2,2,2,2
4054,39,0,39,39,39
4055,2,2,2,2,2
4056,37,2,42,20,42
4057,22,4,22,22,22
4058,4,8,4,4,4
4059,17,3,17,17,17
4060,39,6,39,39,39
4061,12,2,21,21,12
4062,9,4,9,9,9
4063,5,6,5,5,5
4064,3,3,3,3,3
4065,30,2,30,30,30
4066,6,6,6,6,6
4067,9,9,9,9,9
4068,4,3,4,4,4
4069,32,2,32,32,32
4070,1,1,1,1,1
4071,18,1,1,1,1
4072,4,4,4,4,4
4073,43,39,43,43,43
4074,33,8,33,33,33
4075,1,1,1,1,1
4076,39,39,39,39,39
4077,18,1,1,1,1
4078,1,1,1,1,1
4079,34,4,34,34,34
4080,43,39,43,43,43
4081,1,6,1,1,1
4082,21,8,1,1,1
4083,0,6,24,0,24
4084,34,4,34,34,34
4085,2,2,2,2,2
4086,25,1,25,25,25
4087,2,3,2,2,2
4088,30,24,30,30,30
4089,46,39,46,46,46
4090,25,8,25,25,25
4091,23,39,23,23,23
4092,5,6,5,5,5
4093,24,0,24,24,24
4094,24,24,24,24,24
4095,3,3,3,3,3
4096,23,0,23,32,23
4097,24,24,24,24,0
4098,34,1,34,34,34
4099,8,8,8,8,8
4100,19,6,19,19,19
4101,1,1,1,1,1
4102,0,0,24,24,24
4103,4,4,4,4,4
4104,32,2,32,32,32
4105,7,7,7,7,7
4106,5,3,5,5,5
4107,10,39,10,10,10
4108,24,24,36,36,36
4109,2,0,2,2,2
4110,15,6,15,15,15
4111,2,2,2,2,2
4112,5,3,28,28,28
4113,39,4,39,39,39
4114,3,8,3,3,3
4115,7,8,7,7,7
4116,6,24,6,6,6
4117,5,3,5,5,5
4118,34,4,34,34,34
4119,2,2,2,2,2
4120,39,39,39,39,39
4121,1,1,21,21,1
4122,7,4,7,7,7
4123,16,0,16,16,16
4124,8,8,8,8,8
4125,0,0,13,13,0
4126,5,8,5,5,5
4127,7,3,7,7,7
4128,1,8,1,1,1
4129,1,4,1,1,1
4130,2,3,2,2,2
4131,22,39,22,22,22
4132,30,0,30,30,30
4133,2,2,2,2,2
4134,39,39,39,39,39
4135,9,8,9,9,9
4136,41,8,9,9,9
4137,39,39,39,39,39
4138,2,2,2,2,2
4139,2,2,2,2,2
4140,1,39,39,39,25
4141,46,6,46,46,46
4142,29,43,29,29,29
4143,3,6,3,3,3
4144,45,39,45,45,45
4145,28,2,5,28,28
4146,30,4,30,30,30
4147,0,0,0,0,0
4148,1,1,1,1,1
4149,4,3,4,4,4
4150,6,0,6,6,6
4151,21,2,21,21,21
4152,30,4,4,4,4
4153,0,0,24,24,24
4154,5,3,5,5,5
4155,1,1,1,1,1
4156,1,1,1,1,1
4157,12,0,12,12,12
4158,29,6,29,29,29
4159,39,39,39,39,39
4160,39,39,39,39,39
4161,43,0,43,43,43
4162,6,6,6,6,6
4163,24,0,24,24,24
4164,4,4,4,4,4
4165,3,3,3,3,3
4166,6,6,6,6,6
4167,19,6,19,19,19
4168,21,2,18,18,18
4169,2,2,2,2,2
4170,9,4,9,9,9
4171,0,4,44,0,9
4172,4,4,4,4,4
4173,19,3,19,19,19
4174,1,4,18,18,18
4175,8,8,8,8,8
4176,8,8,8,8,8
4177,7,9,7,7,7
4178,7,39,7,7,7
4179,6,6,6,6,6
4180,33,4,33,33,33
4181,45,39,45,45,45
4182,2,2,2,2,2
4183,4,4,4,4,4
4184,39,39,39,39,39
4185,7,7,7,7,7
4186,18,6,18,18,18
4187,25,8,25,25,25
4188,29,8,29,29,29
4189,36,24,36,36,36
4190,9,8,9,9,9
4191,1,1,18,18,18
4192,2,2,2,2,2
4193,5,8,5,5,5
4194,39,39,39,39,39
4195,28,6,28,28,28
4196,2,2,2,2,2
4197,12,39,12,12,12
4198,5,3,5,5,5
4199,6,6,6,6,6
4200,2,0,2,2,2
4201,24,6,24,24,0
4202,6,3,6,6,6
4203,1,8,1,1,1
4204,46,6,46,46,46
4205,5,5,5,5,5
4206,45,39,45,45,45
4207,45,39,45,45,45
4208,19,6,19,19,19
4209,20,2,20,31,20
4210,9,8,9,9,9
4211,21,1,1,1,1
4212,7,0,7,7,7
4213,6,6,6,6,6
4214,21,1,1,1,1
4215,28,6,28,28,28
4216,6,8,6,6,6
4217,14,6,14,14,14
4218,46,1,46,46,46
4219,1,1,1,1,1
4220,8,3,8,8,8
4221,30,0,30,30,30
4222,36,39,30,36,36
4223,4,8,4,4,4
4224,33,1,33,33,33
4225,6,6,6,6,6
4226,21,1,1,1,1
4227,1,6,21,21,1
4228,24,0,0,0,0
4229,7,7,7,7,7
4230,3,4,3,3,3
4231,3,0,3,3,3
4232,8,1,8,8,8
4233,9,1,9,9,4
4234,6,6,6,6,6
4235,19,6,19,19,19
4236,6,6,6,6,6
4237,35,6,35,35,35
4238,5,6,5,5,5
4239,0,0,0,0,0
4240,23,39,23,23,23
4241,24,0,0,0,0
4242,8,8,8,8,8
4243,5,3,5,5,5
4244,2,1,2,2,2
4245,8,3,8,8,8
4246,0,0,0,0,0
4247,2,2,2,2,2
4248,5,3,5,5,5
4249,7,7,7,7,7
4250,2,2,2,2,2
4251,7,7,7,7,7
4252,24,6,24,13,0
4253,3,3,3,3,3
4254,3,43,3,3,3
4255,1,1,1,1,1
4256,38,4,38,38,38
4257,6,6,6,6,6
4258,2,2,2,2,2
4259,4,8,4,4,4
4260,7,7,7,7,7
4261,4,4,4,4,4
4262,26,2,26,26,26
4263,34,8,45,45,45
4264,7,9,9,7,7
4265,7,7,7,7,7
4266,13,0,13,13,13
4267,3,3,3,3,3
4268,28,2,28,28,28
4269,8,8,8,8,8
4270,1,6,1,1,1
4271,25,39,25,25,25
4272,43,39,43,43,43
4273,23,8,23,23,23
4274,19,1,19,19,19
4275,6,1,6,6,6
4276,1,8,1,1,1
4277,7,3,7,7,7
4278,8,8,8,8,8
4279,1,1,1,1,1
4280,28,3,28,28,28
4281,46,8,46,46,46
4282,3,24,3,3,3
4283,31,4,31,31,31
4284,9,9,9,9,9
4285,30,3,30,30,30
4286,8,8,8,8,8
4287,0,0,0,0,0
4288,28,8,8,28,28
4289,1,1,1,1,1
4290,40,6,46,46,46
4291,3,4,3,3,3
4292,24,0,24,24,0
4293,18,2,21,1,21
4294,0,0,0,0,0
4295,6,6,6,6,6
4296,7,7,7,7,7
4297,30,4,30,30,30
4298,15,8,15,15,15
4299,2,2,2,2,2
4300,4,8,4,4,4
4301,10,8,10,10,10
4302,7,0,7,7,7
4303,5,1,5,28,28
4304,36,8,36,36,36
4305,7,7,7,7,7
4306,34,8,33,34,4
4307,9,9,9,9,9
4308,24,0,0,0,13
4309,2,2,2,2,2
4310,15,8,15,15,15
4311,16,2,6,6,27
4312,39,39,39,39,39
4313,36,39,36,36,36
4314,8,8,8,8,8
4315,10,3,10,10,10
4316,5,6,5,5,5
4317,8,9,8,8,8
4318,18,1,1,1,1
4319,39,39,39,39,39
4320,8,8,8,8,8
4321,0,0,0,0,0
4322,3,3,3,3,3
4323,6,6,6,6,6
4324,4,4,4,4,4
4325,2,2,2,2,2
4326,14,2,14,14,14
4327,25,8,25,25,25
4328,6,6,6,6,6
4329,3,2,3,3,3
4330,0,0,24,24,24
4331,2,2,2,2,2
4332,5,4,5,5,5
4333,5,5,5,5,5
4334,43,43,43,43,43
4335,30,2,30,30,30
4336,3,3,3,3,3
4337,1,1,1,1,1
4338,9,4,9,9,9
4339,27,39,27,27,27
4340,16,2,16,16,16
4341,12,24,12,12,12
4342,43,43,43,43,43
4343,35,4,2,35,35
4344,2,2,2,2,2
4345,37,6,37,37,37
4346,39,39,39,39,39
4347,2,2,2,2,2
4348,39,39,39,39,39
4349,6,6,6,6,6
4350,4,4,4,4,4
4351,36,39,36,36,36
4352,27,39,27,27,27
4353,4,8,34,34,4
4354,6,0,6,6,6
4355,28,6,28,28,28
4356,7,8,7,7,7
4357,28,6,28,28,28
4358,21,1,1,1,1
4359,3,3,3,3,3
4360,3,0,3,3,3
4361,7,7,7,7,7
4362,22,43,22,22,22
4363,2,2,2,2,2
4364,9,9,9,9,9
4365,0,2,0,0,13
4366,39,39,39,39,39
4367,7,7,7,7,7
4368,28,8,28,28,28
4369,39,39,39,39,39
4370,3,3,3,3,3
4371,0,0,24,24,24
4372,7,7,7,7,7
4373,22,39,22,22,22
4374,15,7,15,15,15
4375,22,43,22,22,22
4376,29,8,29,29,29
4377,5,5,5,5,5
4378,3,3,3,3,3
4379,44,4,9,9,9
4380,4,4,4,4,4
4381,0,0,0,0,0
4382,2,2,2,2,2
4383,19,3,28,28,28
4384,8,4,8,8,20
4385,12,6,12,12,12
4386,45,8,45,45,45
4387,40,8,15,15,15
4388,5,0,5,5,5
4389,10,4,10,10,10
4390,19,0,19,19,19
4391,26,5,26,26,26
4392,12,39,12,12,12
4393,4,4,4,4,4
4394,29,39,29,29,29
4395,0,0,24,24,0
4396,31,4,31,31,31
4397,9,4,44,9,9
4398,5,5,28,5,5
4399,45,39,45,45,45
4400,38,39,36,39,36
4401,21,7,21,21,21
4402,3,3,3,3,3
4403,8,8,8,8,8
4404,0,0,24,24,0
4405,2,2,2,2,2
4406,0,0,0,0,0
4407,0,0,0,0,0
4408,45,39,45,45,45
4409,2,8,2,2,2
4410,4,4,4,4,4
4411,3,3,3,3,3
4412,28,6,28,28,5
4413,21,1,21,21,1
4414,22,39,22,22,22
4415,9,8,9,9,9
4416,29,7,29,29,29
4417,9,39,9,9,9
4418,5,5,5,5,5
4419,42,5,42,20,42
4420,8,8,8,8,8
4421,1,1,1,1,1
4422,8,6,8,8,8
4423,4,0,4,4,30
4424,3,6,3,3,3
4425,8,8,8,8,8
4426,5,6,5,5,5
4427,29,8,29,29,29
4428,6,6,6,6,6
4429,7,24,7,7,7
4430,7,7,7,7,7
4431,3,3,3,3,3
4432,12,39,12,12,12
4433,32,39,23,23,32
4434,1,8,1,1,1
4435,21,1,1,1,1
4436,19,7,19,19,19
4437,23,0,23,23,23
4438,8,8,8,8,8
4439,3,3,3,3,3
4440,25,1,25,25,25
4441,5,3,28,5,5
4442,43,39,43,43,43
4443,18,2,18,18,18
4444,9,9,9,9,9
4445,21,6,21,21,21
4446,30,0,30,30,30
4447,3,3,3,3,3
4448,3,3,3,3,3
4449,30,4,30,30,30
4450,36,3,36,36,36
4451,11,8,11,11,11
4452,3,3,3,3,3
4453,7,7,7,7,7
4454,20,4,20,33,20
4455,3,43,3,3,3
4456,31,9,31,31,31
4457,7,1,7,7,7
4458,2,2,2,2,2
4459,1,1,1,1,1
4460,21,1,1,21,1
4461,22,39,22,22,22
4462,1,1,1,1,1
4463,30,6,30,30,30
4464,6,6,6,6,6
4465,23,0,23,23,23
4466,25,8,25,25,25
4467,14,8,14,14,14
4468,8,1,8,8,8
4469,30,2,30,30,30
4470,18,1,1,1,1
4471,3,9,3,3,3
4472,44,39,36,36,27
4473,43,39,43,43,43
4474,1,1,1,1,1
4475,1,1,1,1,1
4476,4,8,4,4,4
4477,6,24,6,6,6
4478,9,4,9,9,9
4479,21,1,1,1,1
4480,27,8,27,27,27
4481,3,1,3,3,3
4482,8,8,8,8,8
4483,31,4,31,31,31
4484,36,39,36,36,36
4485,46,6,46,46,46
4486,3,2,3,3,3
4487,27,39,27,27,27
4488,21,6,21,21,21
4489,25,8,25,25,25
4490,42,8,42,42,42
4491,24,24,24,0,0
4492,3,3,3,3,3
4493,7,7,7,7,7
4494,8,8,8,8,8
4495,46,1,45,46,46
4496,2,2,2,2,2
4497,11,3,11,11,11
4498,12,39,24,24,12
4499,7,3,7,7,7
4500,4,4,4,4,4
4501,7,7,7,7,7
4502,6,6,6,6,6
4503,1,6,1,1,1
4504,45,8,45,45,45
4505,0,0,0,24,0
4506,18,1,18,18,18
4507,0,24,0,0,0
4508,24,6,24,0,0
4509,7,1,7,7,7
4510,18,6,1,1,1
4511,37,6,37,37,37
4512,31,4,31,31,31
4513,9,4,9,9,9
4514,3,0,3,3,3
4515,22,39,22,22,22
4516,46,8,46,46,46
4517,8,8,8,8,8
4518,6,2,6,6,6
4519,9,1,9,9,9
4520,42,3,42,42,42
4521,7,3,7,7,7
4522,5,39,5,5,5
4523,10,2,10,10,10
4524,7,2,7,7,7
4525,33,1,33,33,33
4526,32,0,32,32,32
4527,46,4,46,46,46
4528,46,6,46,46,46
4529,30,4,30,30,30
4530,9,9,9,9,9
4531,1,1,1,1,1
4532,0,0,0,24,0
4533,6,24,6,6,6
4534,5,4,5,5,5
4535,46,8,46,46,46
4536,1,8,1,1,1
4537,4,4,4,4,4
4538,4,4,4,4,4
4539,5,5,5,5,5
4540,5,5,5,28,5
4541,3,3,3,3,3
4542,21,6,21,21,21
4543,30,0,30,30,30
4544,9,4,9,9,9
4545,45,39,45,45,45
4546,6,6,6,6,6
4547,21,0,21,21,21
4548,20,39,20,20,20
4549,39,39,39,39,39
4550,0,0,0,0,0
4551,4,4,4,4,4
4552,2,2,2,2,2
4553,12,0,12,12,12
4554,9,9,9,9,9
4555,1,8,1,1,1
4556,6,1,37,37,6
4557,21,2,21,21,21
4558,3,43,3,3,3
4559,8,8,8,8,8
4560,4,43,4,4,4
4561,5,3,5,5,5
4562,9,8,9,9,9
4563,28,6,28,28,28
4564,24,24,24,24,24
4565,34,8,34,34,34
4566,16,8,16,16,16
4567,28,3,28,5,28
4568,40,8,15,15,15
4569,34,1,34,34,34
4570,7,7,7,7,7
4571,42,5,42,42,42
4572,16,0,16,16,16
4573,4,8,4,4,4
4574,3,3,3,3,3
4575,30,24,30,30,30
4576,20,8,20,20,20
4577,45,43,45,45,42
4578,3,3,3,3,3
4579,12,6,12,12,12
4580,9,4,9,9,9
4581,39,39,39,39,39
4582,2,2,2,2,2
4583,2,39,2,2,2
4584,9,7,9,9,9
4585,8,3,8,8,8
4586,42,6,42,42,42
4587,16,3,16,16,16
4588,22,24,22,22,22
4589,9,8,9,9,9
4590,18,1,1,21,1
4591,12,39,12,12,12
4592,6,6,6,6,6
4593,6,2,6,6,6
4594,21,1,1,1,1
4595,4,4,4,4,4
4596,5,12,5,5,5
4597,30,39,30,30,30
4598,46,39,29,29,29
4599,4,2,4,4,4
4600,39,39,39,39,39
4601,4,4,4,4,4
4602,8,6,8,8,8
4603,5,8,5,5,5
4604,38,2,38,38,38
4605,8,8,8,8,8
4606,45,39,43,43,43
4607,43,39,43,43,43
4608,9,4,9,9,9
4609,9,4,9,9,9
4610,5,7,5,5,5
4611,8,8,8,8,8
4612,37,3,37,37,37
4613,4,4,4,4,4
4614,24,0,0,0,0
4615,5,0,5,5,5
4616,0,0,0,0,0
4617,18,1,18,18,18
4618,1,1,1,1,1
4619,30,0,30,30,30
4620,8,8,8,8,8
4621,8,6,8,8,8
4622,15,1,15,15,15
4623,1,1,1,1,1
4624,4,24,4,4,4
4625,42,4,42,42,42
4626,7,8,7,7,7
4627,5,4,5,5,5
4628,22,39,22,22,22
4629,45,39,45,45,45
4630,4,8,4,4,4
4631,8,3,11,8,8
4632,0,24,24,24,0
4633,1,1,1,1,1
4634,7,7,7,7,7
4635,8,8,8,8,8
4636,43,39,43,43,43
4637,28,6,28,28,28
4638,7,7,7,7,7
4639,17,43,17,17,17
4640,10,39,10,10,10
4641,5,6,5,5,5
4642,24,0,30,24,24
4643,28,6,28,28,28
4644,22,39,22,22,22
4645,1,1,1,1,1
4646,28,0,5,28,5
4647,18,1,18,18,18
4648,5,8,5,5,5
4649,9,9,9,9,9
4650,3,3,3,3,3
4651,30,24,30,30,30
4652,42,8,42,42,42
4653,0,0,24,24,0
4654,6,2,37,37,37
4655,19,3,19,19,19
4656,17,39,17,17,17
4657,7,1,7,7,7
4658,1,4,1,1,1
4659,2,2,2,2,2
4660,3,3,3,3,3
4661,7,7,7,7,7
4662,36,39,36,36,36
4663,1,1,1,1,1
4664,24,24,24,24,24
4665,5,6,5,5,5
4666,30,0,30,30,30
4667,9,4,9,9,9
4668,10,39,10,10,10
4669,30,0,30,30,30
4670,3,3,3,3,3
4671,1,1,1,1,1
4672,10,2,10,10,10
4673,12,2,12,12,12
4674,43,39,43,43,43
4675,6,6,6,6,6
4676,21,1,1,21,1
4677,32,2,32,32,32
4678,42,6,42,42,42
4679,29,7,29,29,29
4680,39,39,39,39,39
4681,28,5,28,5,5
4682,15,8,15,15,15
4683,29,39,29,29,29
4684,2,2,2,2,2
4685,0,24,24,24,24
4686,43,3,43,7,43
4687,5,5,5,5,5
4688,21,6,1,1,1
4689,4,8,4,4,4
4690,7,7,7,7,7
4691,9,9,9,9,9
4692,3,3,3,3,3
4693,31,4,31,31,31
4694,31,4,31,31,31
4695,6,24,6,6,6
4696,42,8,42,42,42
4697,2,2,2,2,2
4698,8,8,8,8,8
4699,4,4,4,4,4
4700,0,2,0,0,0
4701,13,2,25,0,0
4702,2,2,2,2,2
4703,23,39,23,23,23
4704,8,29,8,8,8
4705,1,1,1,1,1
4706,42,1,42,42,42
4707,6,6,6,6,6
4708,0,0,0,0,0
4709,45,39,45,45,45
4710,1,8,1,1,1
4711,41,0,44,0,9
4712,30,0,30,30,30
4713,5,39,5,5,5
4714,13,0,13,13,13
4715,42,2,42,42,42
4716,39,39,39,39,39
4717,3,3,3,3,3
4718,3,3,3,3,3
4719,3,1,3,3,3
4720,8,6,8,8,8
4721,32,39,32,32,32
4722,35,3,35,35,35
4723,0,0,0,0,0
4724,39,39,39,39,39
4725,0,0,0,0,0
4726,2,8,2,2,2
4727,7,9,7,7,7
4728,7,7,7,7,7
4729,24,24,0,0,0
4730,6,6,6,6,6
4731,1,6,1,21,1
4732,8,6,8,8,8
4733,8,8,8,8,8
4734,1,1,1,1,1
4735,4,8,4,4,4
4736,38,8,38,38,38
4737,4,9,4,4,4
4738,13,3,13,13,13
4739,39,39,39,39,39
4740,6,2,6,6,6
4741,39,39,39,39,39
4742,3,3,3,3,3
4743,21,1,1,1,1
4744,2,6,2,2,2
4745,43,0,43,43,43
4746,0,0,0,0,0
4747,6,3,6,6,6
4748,39,0,39,39,39
4749,26,7,26,26,26
4750,28,0,28,28,28
4751,28,6,28,28,28
4752,3,3,3,3,3
4753,28,6,5,5,28
4754,26,39,26,26,26
4755,2,6,35,35,35
4756,45,39,45,45,45
4757,0,0,0,0,0
4758,7,7,7,7,7
4759,46,6,46,46,46
4760,18,1,18,18,18
4761,45,39,45,45,45
4762,30,24,30,30,30
4763,45,39,45,45,45
4764,28,4,5,5,5
4765,2,2,2,2,2
4766,23,3,23,23,23
4767,37,2,37,37,42
4768,1,1,1,1,1
4769,6,6,6,6,6
4770,1,1,1,1,1
4771,24,0,0,0,30
4772,7,7,7,7,7
4773,1,1,1,1,1
4774,18,1,1,1,1
4775,35,2,35,35,35
4776,1,1,1,1,1
4777,24,0,24,24,24
4778,46,39,46,46,46
4779,9,9,9,9,9
4780,17,8,17,23,17
4781,2,2,2,2,2
4782,5,3,5,5,5
4783,5,24,5,5,5
4784,6,6,6,6,6
4785,14,4,14,20,14
4786,6,0,6,6,6
4787,45,39,45,46,46
4788,8,8,8,8,8
4789,4,4,4,4,4
4790,0,0,0,0,0
4791,29,8,29,29,29
4792,3,3,3,3,3
4793,20,39,20,20,20
4794,32,5,32,32,32
4795,46,1,46,46,46
4796,18,1,1,1,1
4797,43,4,43,43,43
4798,5,4,5,5,5
4799,43,39,43,43,43
4800,1,1,1,1,1
4801,8,8,8,8,8
4802,25,8,25,25,25
4803,1,1,1,1,1
4804,46,6,46,46,46
4805,6,6,6,6,6
4806,25,8,25,25,25
4807,4,4,4,4,4
4808,5,3,5,5,5
4809,9,9,9,9,9
4810,8,8,8,8,8
4811,29,6,29,29,29
4812,30,2,30,30,30
4813,45,39,45,45,45
4814,43,0,43,43,43
4815,9,8,9,9,9
4816,22,4,22,22,22
4817,36,39,36,36,36
4818,46,1,46,46,46
4819,23,8,23,23,23
4820,34,8,4,34,4
4821,3,3,3,3,3
4822,2,2,2,2,2
4823,1,1,1,1,1
4824,31,4,31,31,31
4825,0,0,0,0,0
4826,10,2,10,10,10
4827,5,3,5,5,5
4828,24,0,24,24,24
4829,36,39,36,36,36
4830,29,7,29,29,29
4831,25,3,25,25,25
4832,9,9,9,9,9
4833,3,3,3,3,3
4834,3,0,3,3,3
4835,6,6,6,6,6
4836,13,0,13,13,13
4837,19,7,19,19,19
4838,4,24,4,36,38
4839,6,8,6,6,37
4840,41,3,41,41,41
4841,4,4,4,4,4
4842,38,2,38,38,38
4843,38,2,39,27,38
4844,39,4,39,46,39
4845,7,7,7,7,7
4846,18,1,1,1,1
4847,30,24,30,30,30
4848,13,0,9,11,36
4849,43,39,43,43,43
4850,0,2,0,0,0
4851,3,3,3,3,3
4852,2,7,2,2,2
4853,42,6,42,42,42
4854,4,8,4,4,4
4855,35,4,35,35,35
4856,30,0,30,30,30
4857,4,8,4,4,4
4858,46,8,46,46,46
4859,3,39,3,3,3
4860,8,8,8,8,8
4861,8,8,8,8,8
4862,26,2,26,26,26
4863,16,2,16,16,16
4864,0,0,0,24,0
4865,39,8,39,39,39
4866,30,3,30,30,30
4867,12,0,12,12,12
4868,24,0,24,24,0
4869,22,4,22,22,22
4870,2,2,2,2,2
4871,9,4,9,9,9
4872,5,6,5,5,5
4873,42,2,42,42,42
4874,4,8,4,4,4
4875,30,3,30,30,30
4876,0,24,24,24,0
4877,9,1,9,9,9
4878,7,3,7,7,7
4879,8,8,8,8,8
4880,9,3,9,9,9
4881,46,6,46,46,46
4882,4,4,4,4,4
4883,14,3,14,14,14
4884,2,2,2,2,2
4885,22,39,22,22,22
4886,9,9,9,9,9
4887,21,1,1,1,1
4888,8,8,8,8,8
4889,4,4,4,4,4
4890,46,4,46,46,46
4891,1,1,1,1,1
4892,46,4,46,46,46
4893,25,4,25,25,25
4894,9,9,9,9,9
4895,1,1,1,21,1
4896,9,9,9,9,9
4897,8,8,8,8,8
4898,3,2,3,3,3
4899,30,2,30,30,30
4900,42,2,42,42,42
4901,5,5,5,5,5
4902,2,5,2,38,38
4903,3,8,3,3,3
4904,1,1,1,1,1
4905,24,0,0,0,0
4906,46,4,46,46,46
4907,20,4,20,20,20
4908,34,39,34,45,45
4909,0,0,0,0,0
4910,46,1,46,46,46
4911,4,4,4,4,4
4912,2,2,2,2,2
4913,25,1,9,9,25
4914,36,24,36,36,36
4915,22,39,22,22,22
4916,4,4,4,34,4
4917,6,5,16,5,16
4918,3,3,3,3,3
4919,21,8,1,1,1
4920,46,39,46,46,46
4921,46,1,46,46,46
4922,37,5,37,37,37
4923,28,0,23,23,23
4924,8,9,8,8,8
4925,24,0,24,24,0
4926,7,8,7,7,7
4927,39,39,39,39,39
4928,3,3,3,3,3
4929,21,1,1,1,1
4930,30,0,30,30,30
4931,6,3,6,6,6
4932,29,8,29,29,29
4933,8,8,8,8,8
4934,0,24,24,24,24
4935,41,6,41,41,44
4936,9,7,9,9,9
4937,29,8,29,9,5
4938,7,7,7,7,7
4939,23,2,23,23,23
4940,29,43,7,7,29
4941,39,8,39,39,39
4942,24,0,0,0,0
4943,8,9,8,8,8
4944,15,1,15,15,15
4945,39,39,39,39,39
4946,5,6,28,28,28
4947,46,8,46,46,46
4948,7,7,7,7,7
4949,38,2,38,38,38
4950,7,7,7,7,7
4951,20,0,20,20,20
4952,0,0,0,0,0
4953,5,13,5,5,5
4954,21,6,21,21,21
4955,4,4,4,4,4
4956,15,8,15,15,15
4957,38,1,38,38,38
4958,4,1,4,4,4
4959,45,39,45,45,45
4960,24,39,24,24,0
4961,6,6,6,6,6
4962,4,3,4,4,4
4963,22,43,22,22,22
4964,9,9,9,9,9
4965,18,9,18,18,18
4966,4,39,4,4,4
4967,22,39,22,22,22
4968,6,3,6,6,6
4969,1,1,1,1,1
4970,2,2,2,2,2
4971,7,8,7,7,7
4972,9,9,9,9,9
4973,24,0,24,24,24
4974,8,8,8,8,8
4975,23,4,23,23,23
4976,30,0,30,30,30
4977,27,8,27,27,27
4978,25,8,25,25,25
4979,23,39,23,23,23
4980,4,4,4,4,4
4981,28,3,28,28,28
4982,14,39,14,14,14
4983,18,1,1,18,1
4984,35,2,35,35,35
4985,7,1,7,7,7
4986,8,9,8,8,8
4987,6,24,6,6,6
4988,12,6,12,12,12
4989,4,8,4,4,4
4990,29,8,29,29,29
4991,24,0,0,24,0
4992,5,5,5,5,5
4993,10,8,10,10,10
4994,6,6,6,6,6
4995,44,9,44,44,44
4996,38,3,38,38,38
4997,4,4,4,4,4
4998,0,3,0,0,0
4999,4,4,4,4,4
5000,44,4,9,9,9
5001,24,24,24,24,24
5002,5,39,5,5,5
5003,2,2,2,2,2
5004,0,0,0,0,0
5005,18,1,18,18,18
5006,28,0,28,28,28
5007,7,9,7,7,7
5008,3,3,3,3,3
5009,23,39,23,23,23
5010,1,1,1,1,1
5011,2,2,2,2,2
5012,8,8,8,8,8
5013,28,6,28,28,28
5014,9,4,9,9,9
5015,18,1,1,1,1
5016,8,1,8,8,8
5017,38,43,38,38,38
5018,9,4,9,9,9
5019,1,1,1,1,1
5020,1,1,1,1,1
5021,10,0,10,10,10
5022,7,7,7,7,7
5023,28,3,28,5,28
5024,0,0,0,0,0
5025,1,1,18,18,1
5026,5,6,5,5,5
5027,27,8,27,27,27
5028,25,8,25,25,25
